[2023-09-27 20:39:56.660] [pxr_streamer] [info] ***********  Log Begin **********
[2023-09-27 20:39:56.660] [pxr_streamer] [info] process id= 28292
[2023-09-27 20:39:56.660] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x8bca6770
[2023-09-27 20:39:56.660] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0x8bca6770
[2023-09-27 20:39:56.660] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0x8bca6770
[2023-09-27 20:39:59.686] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x8bca6770
[2023-09-27 20:40:02.709] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x8bca6770
[2023-09-27 20:40:05.735] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x8bca6770
[2023-09-27 20:40:08.770] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x8bca6770
[2023-09-27 20:40:11.799] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x8bca6770
[2023-09-27 20:40:14.833] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x8bca6770
[2023-09-27 20:40:17.865] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x8bca6770
[2023-09-27 20:40:20.905] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x8bca6770
[2023-09-27 20:40:23.941] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x8bca6770
[2023-09-27 20:40:26.976] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x8bca6770
